Movie Name,Director,Release Date,Running Time,Country,Language,IMDB Rating,Genre,Number of votes,Plot,Cast
Once Upon a Time in the West,Sergio Leone,4 July 1969 (USA),2h 45min,Italian,See more,8.5,Western,"279,463",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,"Claudia Cardinale, Henry Fonda, Jason Robards, Charles Bronson"
The Prestige,Christopher Nolan,20 October 2006 (USA),2h 10min,English,See more,8.5,Drama,"1,095,976","After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo"
Casablanca,Michael Curtiz,23 January 1943 (USA),1h 42min,USA,English,8.5,Drama,"488,055",A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains"
Grave of the Fireflies,Isao Takahata,26 July 1989 (USA),1h 29min,Japanese,See more,8.5,Animation,"206,203",A young boy and his little sister struggle to survive in Japan during World War II.,"Tsutomu Tatsumi, Ayano Shiraishi, Yoshiko Shinohara, Akemi Yamaguchi"
Rear Window,Alfred Hitchcock,September 1954 (USA),1h 52min,English,See more,8.4,Mystery,"410,774",A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter"
Cinema Paradiso,Giuseppe Tornatore,23 February 1990 (USA),2h 35min,Italy,Italian,8.5,Drama,"208,721",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,"Antonella Attili, Enzo Cannavale, Isa Danieli, Leo Gullotta"
Alien,Ridley Scott,22 June 1979 (USA),1h 57min,UK,English,8.4,Horror,"734,061","After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun.","Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser"
Raiders of the Lost Ark,Steven Spielberg,12 June 1981 (USA),1h 55min,USA,English,8.4,Action,"831,197","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.","Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey"
Memento,Christopher Nolan,25 May 2001 (USA),1h 53min,USA,English,8.4,Mystery,"1,053,443",A man with short-term memory loss attempts to track down his wife's murderer.,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior"
Avengers: Endgame,Anthony Russo,26 April 2019 (USA),3h 1min,USA,English,8.5,Action,"605,580","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Robert Downey Jr., Chris Evans, Mark Ruffalo"
Apocalypse Now,Francis Ford Coppola,15 August 1979 (USA),2h 27min,USA,English,8.4,Drama,"563,651",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest"
The Great Dictator,Charles Chaplin,7 March 1941 (USA),2h 5min,English,See more,8.5,Comedy,"186,776",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"Charles Chaplin, Jack Oakie, Reginald Gardiner, Henry Daniell"
The Lives of Others,Florian Henckel von Donnersmarck,30 March 2007 (USA),2h 17min,Germany,German,8.4,Drama,"332,053","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","Martina Gedeck, Ulrich M√ºhe, Sebastian Koch, Ulrich Tukur"
Django Unchained,Quentin Tarantino,25 December 2012 (USA),2h 45min,USA,English,8.4,Drama,"1,250,190","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington"
Avengers: Infinity War,Anthony Russo,27 April 2018 (USA),2h 29min,USA,English,8.5,Action,"726,260",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo"
The Shining,Stanley Kubrick,13 June 1980 (USA),2h 26min,UK,English,8.4,Drama,"816,798","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers"
Paths of Glory,Stanley Kubrick,November 1957 (West Germany),1h 28min,English,See more,8.4,Drama,"161,960","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready"
Spider-Man: Into the Spider-Verse,Bob Persichetti,14 December 2018 (USA),1h 57min,USA,English,8.4,Animation,"276,558","Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities.","Shameik Moore, Jake Johnson, Hailee Steinfeld"
WALL¬∑E,Andrew Stanton,27 June 2008 (USA),1h 38min,USA,English,8.4,Animation,"931,960","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard"
Sunset Blvd.,Billy Wilder,29 September 1950 (Australia),1h 50min,English,See more,8.4,Drama,"184,926",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,"William Holden, Gloria Swanson, Erich von Stroheim"
Princess Mononoke,Hayao Miyazaki,19 December 1997 (USA),2h 14min,Japan,Japanese,8.4,Animation,"304,382","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","Billy Crudup, Billy Bob Thornton, Minnie Driver, John DiMaggio"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,29 January 1964 (USA),1h 35min,English,See more,8.4,Comedy,"424,207",An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn"
Oldboy,Chan-wook Park,21 November 2003 (South Korea),2h,South Korea,Korean,8.4,Action,"472,816","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.","Min-sik Choi, Ji-tae Yu, Hye-jeong Kang, Dae-han Ji"
Witness for the Prosecution,Billy Wilder,6 February 1958 (USA),1h 56min,English,See more,8.4,Crime,"96,471",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester"
The Dark Knight Rises,Christopher Nolan,20 July 2012 (USA),2h 44min,UK,English,8.4,Action,"1,422,358","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.","Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt"
Once Upon a Time in America,Sergio Leone,1 June 1984 (USA),3h 49min,English,See more,8.4,Crime,"286,118","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.","Robert De Niro, James Woods, Elizabeth McGovern, Joe Pesci"
Aliens,James Cameron,18 July 1986 (USA),2h 17min,USA,English,8.4,Action,"614,675","Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?","Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser"
