Movie Name,Director,Release Date,Running Time,Country,Language,IMDB Rating,Genre,Number of votes,Plot,Cast
Gran Torino,Clint Eastwood,9 January 2009 (USA),1h 56min,Germany,English,8.1,Drama,"682,816","Disgruntled Korean War veteran Walt Kowalski (Clint Eastwood) sets out to reform his neighbor, Thao Lor (Bee Vang), a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.","Clint Eastwood, Christopher Carley, Bee Vang, Ahney Her"
The Bandit,Yavuz Turgul,29 November 1996 (Turkey),2h 8min,Turkish,See more,8.3,Crime,"57,509","Baran the Bandit, released from prison after 35 years searches for vengeance and his lover.","Sener Sen, Ugur Yücel, Sermin Hürmeriç"
Kill Bill: Vol. 1,Quentin Tarantino,10 October 2003 (USA),1h 51min,USA,English,8.1,Action,"932,895","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah"
The Deer Hunter,Michael Cimino,23 February 1979 (USA),3h 3min,English,See more,8.1,Drama,"290,791",An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,"Robert De Niro, John Cazale, John Savage, Christopher Walken"
Ford v Ferrari,James Mangold,15 November 2019 (USA),2h 32min,USA,English,8.3,Action,"26,926","American car designer Carroll Shelby and driver Ken Miles battle corporate interference, the laws of physics and their own personal demons to build a revolutionary race car for Ford and challenge Ferrari at the 24 Hours of Le Mans in 1966.","Matt Damon, Christian Bale, Jon Bernthal"
Stalker,Andrei Tarkovsky,17 April 1980 (Netherlands),2h 42min,Russian,See more,8.2,Drama,"102,187",A guide leads two men through an area known as the Zone to find a room that grants wishes.,"Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Nikolay Grinko"
The Truman Show,Peter Weir,5 June 1998 (USA),1h 43min,USA,English,8.1,Comedy,"861,951",An insurance salesman discovers his whole life is actually a reality TV show.,"Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone"
The Big Lebowski,Joel Coen,6 March 1998 (USA),1h 57min,English,See more,8.1,Comedy,"679,682","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.","Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi"
Tokyo Story,Yasujir√¥ Ozu,13 March 1972 (USA),2h 16min,Japanese,See more,8.2,Drama,"45,744",An old couple visit their children and grandchildren in the city; but the children have little time for them.,"Chish√ª Ry√ª, Chieko Higashiyama, Setsuko Hara, Haruko Sugimura"
Relatos salvajes,Dami√°n Szifron,21 August 2014 (Argentina),2h 2min,Argentina,Spanish,8.1,Comedy,"156,987",Six short stories that explore the extremities of human behavior involving people in distress.,"Darío Grandinetti, María Marull, Mónica Villa"
Mary and Max,Adam Elliot,9 April 2009 (Australia),1h 32min,Australia,English,8.1,Animation,"154,332","A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.","Toni Collette, Philip Seymour Hoffman, Barry Humphries, Eric Bana"
In the Name of the Father,Jim Sheridan,25 February 1994 (USA),2h 13min,English,See more,8.1,Biography,"145,039",A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,"Alison Crosbie, Daniel Day-Lewis, Philip King, Emma Thompson"
Gone Girl,David Fincher,3 October 2014 (USA),2h 29min,USA,English,8.1,Drama,"785,035","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry"
Hacksaw Ridge,Mel Gibson,4 November 2016 (USA),2h 19min,Australia,English,8.1,Biography,"384,443","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.","Andrew Garfield, Richard Pyros, Jacob Warner, Milo Gibson"
The General,Clyde Bruckman,24 February 1927 (France),1h 7min,English,See more,8.1,Action,"73,810","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.","Buster Keaton, Marion Mack, Glen Cavender, Jim Farley"
Sherlock Jr.,Buster Keaton,11 May 1924 (USA),0h 45min,English,See more,8.2,Action,"35,189","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.","Buster Keaton, Kathryn McGuire, Joe Keaton"
How to Train Your Dragon,Dean DeBlois,26 March 2010 (USA),1h 38min,USA,English,8.1,Animation,"625,845","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera"
Mr. Smith Goes to Washington,Frank Capra,19 October 1939 (USA),2h 9min,English,See more,8.1,Comedy,"100,258","A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.","Jean Arthur, James Stewart, Claude Rains, Edward Arnold"
Memories of Murder,Bong Joon Ho,2 May 2003 (South Korea),2h 12min,South Korea,Korean,8.1,Action,"108,066","In a small Korean province in 1986, three detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","Kang-ho Song, Sang-kyung Kim, Roe-ha Kim, Jae-ho Song"
The Grand Budapest Hotel,Wes Anderson,28 March 2014 (USA),1h 39min,Germany,English,8.1,Adventure,"650,965","The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.","Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody"
Persona,Ingmar Bergman,16 March 1967 (USA),1h 23min,Swedish,See more,8.1,Drama,"90,454",A nurse is put in charge of a mute actress and finds that their personae are melding together.,"Bibi Andersson, Liv Ullmann, Margaretha Krook, Gunnar Bj√∂rnstrand"
Before Sunrise,Richard Linklater,27 January 1995 (USA),1h 41min,English,See more,8.1,Drama,"245,460","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno P√∂schl"
Catch Me If You Can,Steven Spielberg,25 December 2002 (USA),2h 21min,USA,English,8.1,Biography,"745,981","A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor.","Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen"
Into the Wild,Sean Penn,19 October 2007 (USA),2h 28min,USA,English,8.1,Adventure,"535,518","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.","Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone"
Cool Hand Luke,Stuart Rosenberg,1 November 1967 (USA),2h 7min,English,See more,8.1,Crime,"151,926","A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Paul Newman, George Kennedy, J.D. Cannon, Lou Antonio"
12 Years a Slave,Steve McQueen,8 November 2013 (USA),2h 14min,USA,English,8.1,Biography,"592,326","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt"
The Wages of Fear,Henri-Georges Clouzot,16 February 1955 (USA),2h 11min,French,See more,8.1,Adventure,"49,755","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","Yves Montand, Charles Vanel, Folco Lulli, Peter van Eyck"
Prisoners,Denis Villeneuve,20 September 2013 (USA),2h 33min,USA,English,8.1,Crime,"543,975","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","Hugh Jackman, Jake Gyllenhaal, Viola Davis "
Network,Sidney Lumet,27 November 1976 (USA),2h 1min,English,See more,8.1,Drama,"135,063",A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,"Faye Dunaway, William Holden, Peter Finch, Robert Duvall"
Monty Python's Life of Brian,Terry Jones,17 August 1979 (USA),1h 34min,English,See more,8.1,Comedy,"342,817","Born on the original Christmas in the stable next door to Jesus, Brian of Nazareth spends his life being mistaken for a messiah.","Graham Chapman, John Cleese, Michael Palin"
Stand by Me,Rob Reiner,26 November 1986 (USA),1h 29min,USA,English,8.1,Adventure,"341,335","After the death of one of his friends, a writer recounts a boyhood journey with his friends to find the body of a missing boy.","Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell"
Mad Max: Fury Road,George Miller,15 May 2015 (USA),2h,Australia,English,8.1,Action,"805,741","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.","Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne"
Platoon,Oliver Stone,6 February 1987 (USA),2h,USA,English,8.1,Drama,"358,973",A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.,"Tom Berenger, Keith David, Willem Dafoe, Forest Whitaker"
The Red Shoes,Michael Powell,6 September 1948 (UK),2h 15min,English,See more,8.2,Drama,"26,243",A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,"Anton Walbrook, Marius Goring, Moira Shearer"
The Passion of Joan of Arc,Carl Theodor Dreyer,25 October 1928 (France),1h 54min,French,See more,8.2,Biography,"42,240","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","Maria Falconetti, Eugene Silvain, Andr√© Berley, Maurice Schutz"
Million Dollar Baby,Clint Eastwood,28 January 2005 (USA),2h 12min,USA,English,8.1,Drama,"598,110",A determined woman works with a hardened boxing trainer to become a professional.,"Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel"
Rang De Basanti,Rakeysh Omprakash Mehra,26 January 2006 (USA),2h 47min,Hindi,See more,8.2,Comedy,"103,236","The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.","Aamir Khan, Siddharth, Sharman Joshi, Kunal Kapoor"
Rush,Ron Howard,27 September 2013 (USA),2h 3min,UK,English,8.1,Biography,"402,845",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,"Chris Hemsworth, Daniel Br√ºhl, Olivia Wilde, Alexandra Maria Lara"
Hachi: A Dog's Tale,Lasse Hallstr√∂m,12 March 2010 (UK),1h 33min,UK,English,8.1,Drama,"230,724",A college professor bonds with an abandoned dog he takes into his home.,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer"
Barry Lyndon,Stanley Kubrick,18 December 1975 (USA),3h 5min,English,See more,8.1,Adventure,"136,503",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Kr√ºger"
Logan,James Mangold,3 March 2017 (USA),2h 17min,USA,English,8.1,Action,"586,695","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","Hugh Jackman, Patrick Stewart, Dafne Keen"
Andrei Rublev,Andrei Tarkovsky,October 1973 (USA),3h 25min,Russian,See more,8.2,Biography,"40,792","The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.","Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko, Nikolay Sergeev"
Ben-Hur,William Wyler,29 January 1960 (Brazil),3h 32min,English,See more,8.1,Adventure,"205,726","When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.","Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd"
Nausica√§ of the Valley of the Wind,Hayao Miyazaki,25 November 1987 (USA),1h 57min,Japan,Japanese,8.1,Animation,"131,981",Warrior and pacifist Princess Nausica√§ desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,"Sumi Shimamoto, Mahito Tsujimura, Hisako Ky√¥da, Gor√¥ Naya"
The 400 Blows,Fran√ßois Truffaut,16 November 1959 (USA),1h 39min,French,See more,8.1,Crime,"95,003","A young boy, left without attention, delves into a life of petty crime.","Jean-Pierre L√©aud, Claire Maurier, Albert R√©my, Guy Decomble"
Hotel Rwanda,Terry George,4 February 2005 (USA),2h 1min,UK,English,8.1,Biography,"318,763",Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.,"Don Cheadle, Xolani Mali, Desmond Dube, Hakeem Kae-Kazim"
Amores Perros,Alejandro G. I√±√°rritu,13 April 2001 (USA),2h 34min,Mexico,Spanish,8.1,Drama,"210,719","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.","Emilio Echevarr√≠a, Gael Garc√≠a Bernal, Goya Toledo, √Ålvaro Guerrero"
Harry Potter and the Deathly Hallows: Part 2,David Yates,15 July 2011 (USA),2h 10min,USA,English,8.1,Adventure,"708,787","Harry (Daniel Radcliffe), Ron (Rupert Grint), and Hermione (Emma Watson) search for Voldemort's (Ralph Fiennes') remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe"
