Movie Name,Director,Running Time,Country,Language,IMDB Rating,Genre,Number of votes,Plot,Cast,Release Year
The Shining,Stanley Kubrick,146,UK,English,8.4,Drama,"816,798","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers",1980
Paths of Glory,Stanley Kubrick,88,USA,English,8.4,Drama,"161,960","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready",1957
Spider-Man: Into the Spider-Verse,Bob Persichetti,117,USA,English,8.4,Animation,"276,558","Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities.","Shameik Moore, Jake Johnson, Hailee Steinfeld",2018
WALL¬∑E,Andrew Stanton,98,USA,English,8.4,Animation,"931,960","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard",2008
Sunset Blvd.,Billy Wilder,110,USA,English,8.4,Drama,"184,926",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,"William Holden, Gloria Swanson, Erich von Stroheim",1950
Princess Mononoke,Hayao Miyazaki,134,Japan,Japanese,8.4,Animation,"304,382","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","Billy Crudup, Billy Bob Thornton, Minnie Driver, John DiMaggio",1997
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,95,USA,English,8.4,Comedy,"424,207",An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn",1964
Oldboy,Chan-wook Park,120,South Korea,Korean,8.4,Action,"472,816","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.","Min-sik Choi, Ji-tae Yu, Hye-jeong Kang, Dae-han Ji",2003
Witness for the Prosecution,Billy Wilder,116,USA,English,8.4,Crime,"96,471",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester",1958
The Dark Knight Rises,Christopher Nolan,164,UK,English,8.4,Action,"1,422,358","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.","Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt",2012
Once Upon a Time in America,Sergio Leone,229,USA,English,8.4,Crime,"286,118","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.","Robert De Niro, James Woods, Elizabeth McGovern, Joe Pesci",1984
Aliens,James Cameron,137,USA,English,8.4,Action,"614,675","Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?","Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser",1986
American Beauty,Sam Mendes,122,USA,English,8.3,Drama,"1,009,925",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley",1999
Your Name.,Makoto Shinkai,106,Japan,Japanese,8.4,Animation,"148,738","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita",2017
Coco,Lee Unkrich,105,USA,English,8.4,Animation,"306,320","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt",2017
Braveheart,Mel Gibson,178,USA,English,8.3,Biography,"909,420","When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.","James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo",1995
Das Boot,Wolfgang Petersen,149,West Germany,German,8.3,Adventure,"216,090","The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.","J√ºrgen Prochnow, Herbert Gr√∂nemeyer, Klaus Wennemann, Hubertus Bengsch",1982
3 Idiots,Rajkumar Hirani,170,India,Hindi,8.4,Comedy,"311,198","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","Aamir Khan, Madhavan, Sharman Joshi, Kareena Kapoor Khan",2009
Star Wars: Episode VI - Return of the Jedi,Richard Marquand,131,USA,English,8.3,Action,"883,414","After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.","Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",1983
Taare Zameen Par,Aamir Khan,165,India,Hindi,8.4,Drama,"148,948","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Darsheel Safary, Aamir Khan, Tisca Chopra",2007
Toy Story,John Lasseter,81,USA,English,8.3,Animation,"823,548",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",1995
Reservoir Dogs,Quentin Tarantino,99,USA,English,8.3,Crime,"854,184","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn",1992
Amadeus,Milos Forman,160,USA,English,8.3,Biography,"345,481","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.","F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice",1984
Inglourious Basterds,Quentin Tarantino,153,Germany,English,8.3,Adventure,"1,163,084","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","Brad Pitt, M√©lanie Laurent, Christoph Waltz, Eli Roth",2009
Good Will Hunting,Gus Van Sant,126,USA,English,8.3,Drama,"790,687","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.","Matt Damon, Ben Affleck, Stellan Skarsg√•rd, John Mighton",1998
M,Fritz Lang,99,Germany,German,8.3,Crime,"132,159","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","Peter Lorre, Ellen Widmann, Inge Landgut",1931
Dangal,Nitesh Tiwari,161,India,Hindi,8.4,Action,"131,890",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra",2016
Requiem for a Dream,Darren Aronofsky,102,USA,English,8.3,Drama,"717,123",The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans",2000
2001: A Space Odyssey,Stanley Kubrick,149,UK,English,8.3,Adventure,"558,616","After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.","Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter",1968
Vertigo,Alfred Hitchcock,128,USA,English,8.3,Mystery,"331,116",A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore",1958
Eternal Sunshine of the Spotless Mind,Michel Gondry,108,USA,English,8.3,Drama,"844,981","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.","Jim Carrey, Kate Winslet, Gerry Robert Byrne, Elijah Wood",2004
Citizen Kane,Orson Welles,119,USA,English,8.3,Drama,"372,177","Following the death of publishing tycoon, Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.","Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick",1941
The Hunt,Thomas Vinterberg,115,Denmark,Danish,8.3,Drama,"251,163","A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.","Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstr√∏m",2013
Full Metal Jacket,Stanley Kubrick,116,USA,English,8.3,Drama,"627,211",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"Matthew Modine, Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey",1987
North by Northwest,Alfred Hitchcock,136,USA,English,8.3,Adventure,"278,923",A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis",1959
A Clockwork Orange,Stanley Kubrick,136,USA,English,8.3,Crime,"707,996","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke",1972
Snatch,Guy Ritchie,102,UK,English,8.3,Comedy,"734,941","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","Benicio Del Toro, Dennis Farina, Vinnie Jones, Brad Pitt",2001
The Kid,Charles Chaplin,68,USA,English,8.3,Comedy,"101,743","The Tramp cares for an abandoned child, but events put that relationship in jeopardy.","Carl Miller, Edna Purviance, Jackie Coogan, Charles Chaplin",1921
Am√©lie,Jean-Pierre Jeunet,122,France,French,8.3,Comedy,"665,920","Am√©lie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta",2002
Bicycle Thieves,Vittorio De Sica,89,Italy,Italian,8.3,Drama,"132,376","In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.","Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri",1949
Scarface,Brian De Palma,170,USA,English,8.3,Crime,"682,982","In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","Al Pacino, Steven Bauer, Michelle Pfeiffer, Mary Elizabeth Mastrantonio",1983
Singin' in the Rain,Stanley Donen,103,USA,English,8.3,Comedy,"202,828",A silent film production company and cast make a difficult transition to sound.,"Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen",1952
Taxi Driver,Martin Scorsese,114,USA,English,8.3,Crime,"661,883","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.","Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito",1976
Lawrence of Arabia,David Lean,228,UK,English,8.3,Adventure,"249,150","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins",1962
Toy Story 3,Lee Unkrich,103,USA,English,8.3,Animation,"707,845","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",2010
The Sting,George Roy Hill,129,USA,English,8.3,Comedy,"225,876",Two grifters team up to pull off the ultimate con.,"Paul Newman, Robert Redford, Robert Shaw, Charles Durning",1973
Metropolis,Fritz Lang,153,Germany,German,8.3,Drama,"148,525","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.","Alfred Abel, Gustav Fr√∂hlich, Rudolf Klein-Rogge, Fritz Rasp",1927
For a Few Dollars More,Sergio Leone,132,Italy,Italian,8.3,Western,"213,312",Two bounty hunters with the same intentions team up to track down a Western outlaw.,"Clint Eastwood, Lee Van Cleef, Gian Maria Volont√®, Mario Brega",1967
Ikiru,Akira Kurosawa,143,Japan,Japanese,8.3,Drama,"60,676",A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,"Takashi Shimura, Shin'ichi Himori, Haruo Tanaka, Minoru Chiaki",1956
